# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 20 K
"k index (irred.)" "branch index" "f (THz)" "1/tau_3ph (THz)"
55 5 7.39486 0.00012
55 6 15.86145 0.16144
55 7 18.98789 0.26120
55 8 19.63374 0.21204
55 9 19.74124 0.22128
55 10 19.96777 0.20362
55 11 21.64759 0.10345
55 12 26.43426 0.91321
56 1 1.88849 0.00000
56 2 2.05921 0.00000
56 3 3.27313 0.00002
56 4 7.07810 0.00011
56 5 7.34539 0.00013
56 6 15.64197 0.13579
56 7 19.22899 0.24863
56 8 19.63671 0.21264
56 9 19.74679 0.22216
56 10 19.96120 0.20578
56 11 21.79299 0.09998
56 12 26.28595 0.89891
57 1 2.16316 0.00000
57 2 2.41009 0.00000
57 3 3.74309 0.00004
57 4 7.01826 0.00011
57 5 7.28322 0.00013
57 6 15.37435 0.11598
57 7 19.40104 0.23593
57 8 19.64063 0.21268
57 9 19.75410 0.22260
57 10 19.95287 0.20545
57 11 21.96582 0.10600
57 12 26.15120 0.86321
58 1 2.45216 0.00000
58 2 2.73849 0.00000
58 3 4.27309 0.00007
58 4 6.94481 0.00011
58 5 7.20797 0.00013
58 6 15.06544 0.12827
58 7 19.51850 0.22491
58 8 19.64564 0.21301
58 9 19.76340 0.22268
58 10 19.94282 0.20534
58 11 22.15943 0.12222
58 12 26.02576 0.78531
59 1 2.74817 0.00000
59 2 3.04961 0.00001
59 3 4.83910 0.00012
59 4 6.85763 0.00011
59 5 7.11932 0.00013
59 6 14.72113 0.12733
59 7 19.59653 0.21686
59 8 19.65176 0.21399
59 9 19.77473 0.22026
59 10 19.93122 0.20515
59 11 22.36788 0.15380
59 12 25.90402 0.70782
60 1 3.04628 0.00000
60 2 3.34970 0.00001
60 3 5.42379 0.00020
60 4 6.75657 0.00011
60 5 7.01700 0.00013
60 6 14.34627 0.07702
60 7 19.64738 0.21058
60 8 19.65910 0.21472
60 9 19.78726 0.21912
60 10 19.91815 0.20308
60 11 22.58633 0.19493
60 12 25.78143 0.64241
61 1 3.34302 0.00000
61 2 3.64218 0.00001
61 3 6.01635 0.00031
61 4 6.64151 0.00010
61 5 6.90089 0.00012
61 6 13.94485 0.04686
61 7 19.66776 0.21249
61 8 19.68066 0.20595
61 9 19.79919 0.21628
61 10 19.90376 0.20156
61 11 22.81082 0.18506
61 12 25.65474 0.58906
62 1 3.63573 0.00000
62 2 3.92812 0.00001
62 3 6.51236 0.00009
62 4 6.60901 0.00046
62 5 6.77231 0.00012
62 6 13.51992 0.03076
62 7 19.67775 0.21127
62 8 19.70371 0.20608
62 9 19.80849 0.21568
62 10 19.88820 0.20049
62 11 23.03815 0.17830
62 12 25.52172 0.54179
63 1 3.92248 0.00000
63 2 4.20747 0.00001
63 3 6.36912 0.00008
63 4 6.62562 0.00009
63 5 7.20329 0.00069
63 6 13.07407 0.02151
63 7 19.68908 0.20902
63 8 19.72122 0.20646
63 9 19.81412 0.21773
63 10 19.87162 0.21035
63 11 23.26572 0.16971
63 12 25.38094 0.48770
64 1 4.20162 0.00000
64 2 4.47962 0.00001
64 3 6.21173 0.00007
64 4 6.46787 0.00008
64 5 7.78957 0.00101
64 6 12.60924 0.01547
64 7 19.70176 0.20968
64 8 19.73588 0.20862
64 9 19.81589 0.21403
64 10 19.85430 0.20909
64 11 23.49144 0.16759
64 12 25.23146 0.44243
65 1 4.47182 0.00000
65 2 4.74368 0.00001
65 3 6.04034 0.00006
65 4 6.29615 0.00006
65 5 8.36898 0.00143
65 6 12.12720 0.01120
65 7 19.71570 0.21376
65 8 19.74901 0.21051
65 9 19.81418 0.21637
65 10 19.83640 0.21681
65 11 23.71352 0.17515
65 12 25.07275 0.38428
66 1 4.73201 0.00000
66 2 4.99877 0.00001
66 3 5.85507 0.00006
66 4 6.11094 0.00006
66 5 8.93990 0.00196
66 6 11.62928 0.00832
66 7 19.73084 0.21595
66 8 19.76130 0.21420
66 9 19.80957 0.22106
66 10 19.81817 0.22710
66 11 23.93057 0.18248
66 12 24.90460 0.33949
67 1 4.98126 0.00000
67 2 5.24397 0.00001
67 3 5.65615 0.00008
67 4 5.91260 0.00007
67 5 9.50114 0.00266
67 6 11.11666 0.00624
67 7 19.74703 0.20816
67 8 19.77293 0.20751
67 9 19.79988 0.22787
67 10 19.80261 0.22178
67 11 24.14136 0.20128
67 12 24.72703 0.30110
68 1 5.21876 0.00000
68 2 5.44390 0.00000
68 3 5.47850 0.00000
68 4 5.70160 0.00008
68 5 10.05165 0.00356
68 6 10.59047 0.00473
68 7 19.76406 0.20662
68 8 19.78175 0.21488
68 9 19.78387 0.20533
68 10 19.79389 0.21175
68 11 24.34486 0.23010
68 12 24.54029 0.26523
69 1 1.64460 0.00000
