# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 20 K
"Frequency (THz)" "kappa spec xx (W/mK/THz)" "kappa spec yy (W/mK/THz)" "kappa spec zz (W/mK/THz)" "cumulative kappa xx (W/mK)" "cumulative kappa yy (W/mK)" "cumulative kappa zz (W/mK)"
5.39626 66.74668 66.74668 73.06181 40130.60843 40130.60843 67609.15389
5.42624 62.73513 62.73513 68.24871 40132.48918 40132.48918 67611.19993
5.45622 58.84388 58.84388 63.93860 40134.25328 40134.25327 67613.11677
5.48620 55.09848 55.09848 59.82082 40135.90509 40135.90508 67614.91015
5.51618 51.64116 51.64116 56.06929 40137.45325 40137.45325 67616.59106
5.54616 48.52854 48.52854 52.66580 40138.90810 40138.90810 67618.16994
5.57614 45.71873 45.71873 49.61186 40140.27871 40140.27871 67619.65727
5.60612 43.24008 43.24008 47.02610 40141.57502 40141.57501 67621.06708
5.63610 40.91064 40.91064 44.59308 40142.80149 40142.80148 67622.40394
5.66608 38.65908 38.65908 42.24432 40143.96046 40143.96045 67623.67040
5.69606 36.27256 36.27256 39.89917 40145.04788 40145.04788 67624.86654
5.72604 33.94792 33.94792 37.58103 40146.06561 40146.06561 67625.99320
5.75602 31.67628 31.67628 35.31893 40147.01524 40147.01524 67627.05203
5.78599 29.57096 29.57096 33.20834 40147.90176 40147.90176 67628.04759
5.81597 27.64719 27.64719 31.23224 40148.73060 40148.73060 67628.98391
5.84595 25.83367 25.83367 29.35327 40149.50508 40149.50507 67629.86390
5.87593 24.11548 24.11548 27.56884 40150.22804 40150.22804 67630.69039
5.90591 22.52268 22.52268 25.90305 40150.90325 40150.90325 67631.46695
5.93589 21.02565 21.02565 24.34651 40151.53359 40151.53358 67632.19684
5.96587 19.63068 19.63068 22.94404 40152.12210 40152.12210 67632.88468
5.99585 18.36307 18.36307 21.75028 40152.67261 40152.67261 67633.53674
6.02583 17.22802 17.22802 20.73628 40153.18909 40153.18909 67634.15840
6.05581 16.15531 16.15531 19.79489 40153.67342 40153.67341 67634.75183
6.08579 15.13027 15.13027 18.81825 40154.12701 40154.12701 67635.31599
6.11577 14.18338 14.18338 17.78280 40154.55222 40154.55222 67635.84910
6.14575 13.30157 13.30157 16.72040 40154.95099 40154.95099 67636.35037
6.17572 12.51449 12.51449 15.69476 40155.32616 40155.32616 67636.82089
6.20570 11.82615 11.82615 14.76618 40155.68070 40155.68070 67637.26357
6.23568 11.18851 11.18851 13.88531 40156.01613 40156.01612 67637.67984
6.26566 10.55010 10.55010 13.02901 40156.33241 40156.33241 67638.07044
6.29564 9.91076 9.91076 12.22976 40156.62953 40156.62952 67638.43708
6.32562 9.27789 9.27789 11.50769 40156.90767 40156.90767 67638.78207
6.35560 8.66766 8.66766 10.87566 40157.16752 40157.16752 67639.10811
6.38558 8.09540 8.09540 10.30860 40157.41021 40157.41021 67639.41716
6.41556 7.56573 7.56573 9.78287 40157.63703 40157.63703 67639.71044
6.44554 7.08447 7.08447 9.28516 40157.84942 40157.84941 67639.98880
6.47552 6.63119 6.63119 8.81206 40158.04821 40158.04821 67640.25298
6.50550 6.19932 6.19932 8.37122 40158.23407 40158.23406 67640.50394
6.53548 5.79498 5.79498 7.98816 40158.40779 40158.40779 67640.74342
6.56545 5.40971 5.40971 7.63578 40158.56997 40158.56997 67640.97234
6.59543 5.03949 5.03949 7.27680 40158.72105 40158.72105 67641.19049
6.62541 4.71136 4.71136 6.90798 40158.86230 40158.86229 67641.39759
6.65539 4.42746 4.42746 6.52625 40158.99503 40158.99503 67641.59324
6.68537 4.16795 4.16795 6.14091 40159.11998 40159.11998 67641.77734
6.71535 3.93295 3.93295 5.80748 40159.23789 40159.23789 67641.95144
6.74533 3.69672 3.69672 5.49100 40159.34871 40159.34871 67642.11606
6.77531 3.45479 3.45479 5.20377 40159.45228 40159.45228 67642.27206
6.80529 3.22360 3.22360 4.95726 40159.54893 40159.54892 67642.42068
