# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 20 K
"k index (irred.)" "branch index" "f (THz)" "lifetime (ps)" "mfp (nm)" multiplicity "modal kappa^{xx} (W/mK)" "modal kappa^{yy} (W/mK)" "modal kappa^{zz} (W/mK)"
18 7 18.24708 3.38152 0.04339 6 0.00000 0.00000 0.00000
18 8 19.63611 4.57251 0.12077 6 0.00000 0.00000 0.00000
18 9 19.64843 4.55648 1.47148 6 0.00000 0.00000 0.00000
18 10 19.96105 5.03874 0.30884 6 0.00000 0.00000 0.00000
18 11 21.45612 11.13980 0.55110 6 0.00000 0.00000 0.00000
18 12 26.85685 1.30513 0.34718 6 0.00000 0.00000 0.00000
19 1 0.54766 2343240.00000 13836000.00000 12 73.46500 73.46490 105.45000
19 2 0.55860 1969230.00000 13142000.00000 12 30.27310 30.27320 208.86900
19 3 0.96895 1813930.00000 18913500.00000 12 161.08300 161.08300 133.73400
19 4 7.06749 11732.60000 5348.05000 12 0.00000 0.00000 0.00000
19 5 7.09906 11402.50000 15205.10000 12 0.00000 0.00000 0.00000
19 6 16.22183 5.18122 6.24601 12 0.00000 0.00000 0.00000
19 7 18.97548 3.68719 66.67920 12 0.00000 0.00000 0.00000
19 8 19.63653 4.55827 0.13663 12 0.00000 0.00000 0.00000
19 9 19.64933 4.53855 1.45985 12 0.00000 0.00000 0.00000
19 10 19.96009 5.04320 0.34866 12 0.00000 0.00000 0.00000
19 11 21.48064 9.58336 7.69782 12 0.00000 0.00000 0.00000
19 12 26.55541 1.03275 8.01730 12 0.00000 0.00000 0.00000
20 1 0.82473 2401650.00000 14086200.00000 12 28.04900 28.04890 158.27600
20 2 0.91537 2040240.00000 13417000.00000 12 33.49260 33.49260 146.32600
20 3 1.43834 962663.00000 9865840.00000 12 12.45500 12.45500 120.06800
20 4 7.04716 11196.90000 6708.58000 12 0.00000 0.00000 0.00000
20 5 7.07798 10925.30000 14904.90000 12 0.00000 0.00000 0.00000
20 6 16.11789 5.82309 13.23690 12 0.00000 0.00000 0.00000
20 7 19.51919 4.24939 43.61870 12 0.00000 0.00000 0.00000
20 8 19.63779 4.54644 0.17679 12 0.00000 0.00000 0.00000
20 9 19.65451 4.49002 1.07031 12 0.00000 0.00000 0.00000
20 10 19.95718 5.02405 0.44343 12 0.00000 0.00000 0.00000
20 11 21.55232 7.35749 11.34820 12 0.00000 0.00000 0.00000
20 12 26.29057 0.90081 4.49370 12 0.00000 0.00000 0.00000
21 1 1.14412 2035460.00000 11841900.00000 12 9.45757 9.45758 116.66600
21 2 1.23656 1330820.00000 8741260.00000 12 18.78040 18.78040 65.34070
21 3 2.04496 381653.00000 4032320.00000 12 0.52178 0.52178 26.36470
21 4 7.01319 10540.00000 8248.68000 12 0.00000 0.00000 0.00000
21 5 7.04374 10289.70000 14863.40000 12 0.00000 0.00000 0.00000
21 6 15.95058 5.94541 19.33140 12 0.00000 0.00000 0.00000
21 7 19.63994 4.52240 0.22931 12 0.00000 0.00000 0.00000
21 8 19.64456 4.52036 1.78329 12 0.00000 0.00000 0.00000
21 9 19.73654 4.46071 23.05790 12 0.00000 0.00000 0.00000
21 10 19.95242 4.98945 0.56044 12 0.00000 0.00000 0.00000
21 11 21.66594 10.51900 22.89330 12 0.00000 0.00000 0.00000
21 12 26.15947 0.92321 2.73084 12 0.00000 0.00000 0.00000
22 1 1.47621 1799040.00000 10356700.00000 12 3.54471 3.54471 74.67250
22 2 1.55685 1015920.00000 6502240.00000 12 8.11285 8.11286 35.53910
22 3 2.68348 144607.00000 1541190.00000 12 0.02709 0.02709 3.83179
22 4 6.96556 9869.75000 9722.40000 12 0.00000 0.00000 0.00000
22 5 6.99599 9666.81000 15088.40000 12 0.00000 0.00000 0.00000
22 6 15.72696 7.18331 29.52160 12 0.00000 0.00000 0.00000
22 7 19.64300 4.51189 0.28980 12 0.00000 0.00000 0.00000
22 8 19.65116 4.50590 0.65829 12 0.00000 0.00000 0.00000
22 9 19.81772 4.63895 15.46750 12 0.00000 0.00000 0.00000
22 10 19.94579 4.95472 0.68273 12 0.00000 0.00000 0.00000
22 11 21.81434 11.20130 30.08780 12 0.00000 0.00000 0.00000
22 12 26.07115 0.99532 1.98943 12 0.00000 0.00000 0.00000
23 1 1.81128 1508210.00000 8567580.00000 12 1.30829 1.30829 40.90460
23 2 1.88085 941140.00000 5838050.00000 12 3.79334 3.79334 21.84470
23 3 3.32848 61204.00000 651845.00000 12 0.00184 0.00184 0.53250
23 4 6.90413 9358.47000 11211.70000 12 0.00000 0.00000 0.00000
23 5 6.93447 9182.97000 15643.10000 12 0.00000 0.00000 0.00000
23 6 15.45463 8.52987 41.35190 12 0.00000 0.00000 0.00000
23 7 19.64702 4.52051 0.35704 12 0.00000 0.00000 0.00000
23 8 19.65580 4.51251 0.90657 12 0.00000 0.00000 0.00000
23 9 19.85510 4.73733 10.24650 12 0.00000 0.00000 0.00000
23 10 19.93746 4.90591 0.79921 12 0.00000 0.00000 0.00000
23 11 21.98999 10.25700 31.52620 12 0.00000 0.00000 0.00000
23 12 25.99201 1.07534 1.73636 12 0.00000 0.00000 0.00000
24 1 2.14499 1440640.00000 8051770.00000 12 0.56384 0.56384 23.84830
24 2 2.20578 980228.00000 5897960.00000 12 1.92254 1.92253 14.12710
24 3 3.97303 29327.30000 310826.00000 12 0.00015 0.00015 0.07685
24 4 6.82879 9066.78000 12854.40000 12 0.00000 0.00000 0.00000
24 5 6.85907 8905.59000 16618.60000 12 0.00000 0.00000 0.00000
24 6 15.14063 8.01944 43.94070 12 0.00000 0.00000 0.00000
24 7 19.65200 4.51382 0.42762 12 0.00000 0.00000 0.00000
24 8 19.66090 4.50900 0.99874 12 0.00000 0.00000 0.00000
24 9 19.87150 4.81979 7.04819 12 0.00000 0.00000 0.00000
24 10 19.92750 4.93529 0.92126 12 0.00000 0.00000 0.00000
24 11 22.18581 9.17259 30.75450 12 0.00000 0.00000 0.00000
24 12 25.91016 1.18362 1.81422 12 0.00000 0.00000 0.00000
25 1 2.47485 1420040.00000 7784950.00000 12 0.25579 0.25579 13.68610
25 2 2.52884 1060670.00000 6195860.00000 12 1.00273 1.00273 9.03105
25 3 4.61426 15029.20000 158111.00000 12 0.00001 0.00001 0.01125
25 4 6.73945 9044.82000 14854.90000 12 0.00000 0.00000 0.00000
25 5 6.76967 8883.12000 18157.90000 12 0.00000 0.00000 0.00000
25 6 14.79089 7.76720 46.77210 12 0.00000 0.00000 0.00000
25 7 19.65802 4.49432 0.50035 12 0.00000 0.00000 0.00000
25 8 19.66683 4.49825 1.04048 12 0.00000 0.00000 0.00000
25 9 19.87657 4.91053 5.00409 12 0.00000 0.00000 0.00000
25 10 19.91608 4.99006 1.04000 12 0.00000 0.00000 0.00000
25 11 22.39579 6.10162 21.61080 12 0.00000 0.00000 0.00000
25 12 25.82091 1.31600 2.10418 12 0.00000 0.00000 0.00000
26 1 2.79913 1145760.00000 6141840.00000 12 0.09681 0.09681 6.22247
26 2 2.84782 1622670.00000 9201790.00000 12 0.74191 0.74192 7.87898
26 3 5.25048 8213.23000 85604.30000 12 0.00000 0.00000 0.00170
26 4 6.63597 9305.26000 17407.10000 12 0.00000 0.00000 0.00000
26 5 6.66616 9142.86000 20426.60000 12 0.00000 0.00000 0.00000
26 6 14.41036 11.91430 77.35560 12 0.00000 0.00000 0.00000
26 7 19.66513 4.49073 0.57749 12 0.00000 0.00000 0.00000
26 8 19.67367 4.50865 1.06787 12 0.00000 0.00000 0.00000
26 9 19.87489 4.98845 3.62072 12 0.00000 0.00000 0.00000
26 10 19.90334 5.04326 1.14816 12 0.00000 0.00000 0.00000
26 11 22.61493 5.43937 19.89650 12 0.00000 0.00000 0.00000
26 12 25.72219 1.46414 2.53595 12 0.00000 0.00000 0.00000
27 1 3.11649 1037970.00000 5422880.00000 12 0.04196 0.04196 3.10786
27 2 3.16101 1840660.00000 10123400.00000 12 0.41153 0.41153 4.97542
27 3 5.88049 4827.67000 49768.10000 12 0.00000 0.00000 0.00027
27 4 6.51827 9855.67000 20714.60000 12 0.00000 0.00000 0.00001
27 5 6.54840 9716.06000 23645.20000 12 0.00000 0.00000 0.00001
27 6 14.00292 20.07440 138.65300 12 0.00000 0.00000 0.00000
27 7 19.67334 4.57147 0.66893 12 0.00000 0.00000 0.00000
27 8 19.68152 4.57368 1.10054 12 0.00000 0.00000 0.00000
27 9 19.86878 5.05806 2.66877 12 0.00000 0.00000 0.00000
27 10 19.88943 5.09788 1.24412 12 0.00000 0.00000 0.00000
27 11 22.83930 5.65763 21.02330 12 0.00000 0.00000 0.00000
27 12 25.61304 1.62490 3.07795 12 0.00000 0.00000 0.00000
28 1 3.42579 1347020.00000 6836010.00000 12 0.02661 0.02661 2.19372
28 2 3.46701 1457250.00000 7760740.00000 12 0.16193 0.16193 2.15948
28 3 6.38624 11000.00000 25683.80000 12 0.00000 0.00000 0.00001
28 4 6.41628 10828.30000 28443.20000 12 0.00000 0.00000 0.00001
28 5 6.50337 2983.62000 30340.30000 12 0.00000 0.00000 0.00004
28 6 13.57163 31.22160 227.18100 12 0.00000 0.00000 0.00000
28 7 19.68266 4.66387 0.76611 12 0.00000 0.00000 0.00000
28 8 19.69037 4.66046 1.13599 12 0.00000 0.00000 0.00000
28 9 19.85966 5.05477 1.99727 12 0.00000 0.00000 0.00000
28 10 19.87456 5.09236 1.31023 12 0.00000 0.00000 0.00000
28 11 23.06576 6.02238 22.45080 12 0.00000 0.00000 0.00000
28 12 25.49300 1.73079 3.57997 12 0.00000 0.00000 0.00000
29 1 3.72606 1083470.00000 5322500.00000 12 0.01069 0.01069 0.95295
29 2 3.76464 1064290.00000 5476820.00000 12 0.05998 0.05998 0.85731
29 3 6.23985 12587.60000 32338.40000 12 0.00000 0.00000 0.00002
29 4 6.26995 12372.00000 35285.40000 12 0.00000 0.00000 0.00002
29 5 7.11800 1900.23000 19077.60000 12 0.00000 0.00000 0.00001
29 6 13.11898 45.60760 347.08600 12 0.00000 0.00000 0.00000
29 7 19.69313 4.67552 0.85144 12 0.00000 0.00000 0.00000
29 8 19.70026 4.67281 1.15266 12 0.00000 0.00000 0.00000
29 9 19.84839 4.90513 1.52901 12 0.00000 0.00000 0.00000
29 10 19.85894 4.93010 1.31739 12 0.00000 0.00000 0.00000
29 11 23.29178 6.31625 23.38940 12 0.00000 0.00000 0.00000
29 12 25.36199 1.99088 4.47217 12 0.00000 0.00000 0.00000
30 1 4.01638 746403.00000 3536480.00000 12 0.00377 0.00377 0.35389
30 2 4.05289 736104.00000 3651140.00000 12 0.02153 0.02153 0.32133
