f(THz)          MFP(nm)         kappa(W/m-K)
7.923480E+00    3.008560E+00    6.680592E-05
8.325210E+00    1.132410E+00    1.082880E-05
8.391450E+00    8.179570E-01    5.450112E-06
1.566993E+00    5.014930E+01    7.014888E-04
1.620186E+00    1.268650E+02    3.675096E-03
4.239660E+00    2.768180E+01    2.237568E-03
7.842540E+00    2.981600E+00    6.745608E-05
8.308110E+00    9.878210E-01    8.643456E-06
8.369340E+00    7.354200E-01    4.306368E-06
1.598772E+00    3.797790E+01    4.312080E-04
1.659537E+00    1.090420E+02    3.026904E-03
4.503900E+00    3.053000E+01    2.394746E-03
7.760280E+00    6.717850E+00    1.554274E-04
8.294580E+00    7.604210E-01    6.058656E-06
8.350350E+00    6.336550E-01    3.151368E-06
1.622766E+00    2.908570E+01    2.677968E-04
1.689420E+00    9.355410E+01    2.507424E-03
4.760730E+00    3.611510E+01    2.734056E-03
7.676310E+00    7.732900E+00    1.840591E-04
8.284470E+00    4.299680E-01    3.123672E-06
8.334570E+00    5.157130E-01    2.101404E-06
1.640289E+00    2.212250E+01    1.681286E-04
1.710870E+00    8.261870E+01    2.150434E-03
5.008830E+00    2.912690E+01    2.114693E-03
7.590030E+00    9.648410E+00    2.379235E-04
8.277450E+00    4.868000E-01    3.248256E-06
8.322030E+00    3.999860E-01    1.285178E-06
1.652703E+00    1.702160E+01    1.113108E-04
1.725078E+00    7.427960E+01    1.883479E-03
5.246850E+00    1.526910E+01    1.055105E-03
7.500780E+00    1.212750E+01    3.118176E-04
8.273100E+00    4.895600E-01    3.034728E-06
8.312430E+00    2.933190E-01    7.132872E-07
1.661352E+00    1.390110E+01    8.305080E-05
1.733343E+00    6.738150E+01    1.665158E-03
5.473200E+00    1.043950E+01    6.800160E-04
7.407960E+00    1.527990E+01    4.111176E-04
8.270910E+00    4.764570E-01    2.778456E-06
8.305410E+00    2.048430E-01    3.609648E-07
1.667445E+00    1.229290E+01    7.138632E-05
1.736979E+00    6.147570E+01    1.478155E-03
5.685930E+00    6.692900E+00    4.055184E-04
7.311300E+00    1.870160E+01    5.252808E-04
8.270310E+00    4.521990E-01    2.508288E-06
8.300520E+00    1.358360E-01    1.659648E-07
1.671993E+00    1.195000E+01    7.085904E-05
1.737246E+00    5.492620E+01    1.281617E-03
5.882370E+00    4.678800E+00    2.580192E-04
7.211400E+00    2.151620E+01    6.216312E-04
8.270760E+00    4.251950E-01    2.261710E-06
8.297280E+00    8.478050E-02    6.908304E-08
1.675770E+00    1.218120E+01    7.616256E-05
1.735287E+00    5.004210E+01    1.130398E-03
