# freq[thz] kappa[W/m/K]
2.86001568 43.62060715
2.86301360 43.64038885
2.86601152 43.66007390
2.86900944 43.67968590
2.87200736 43.69921185
2.87500528 43.71862200
2.87800320 43.73790315
2.88100112 43.75705490
2.88399904 43.77612800
2.88699696 43.79512530
2.88999488 43.81398630
2.89299280 43.83268575
2.89599072 43.85123170
2.89898864 43.86966515
2.90198656 43.88801365
2.90498448 43.90631845
2.90798240 43.92461305
2.91098032 43.94290735
2.91397824 43.96122245
2.91697616 43.97957775
2.91997408 43.99798070
2.92297200 44.01644255
2.92596992 44.03498630
2.92896784 44.05362980
2.93196576 44.07237465
2.93496368 44.09120825
2.93796160 44.11011480
2.94095952 44.12908110
2.94395744 44.14810770
2.94695536 44.16718490
2.94995328 44.18629035
2.95295120 44.20541220
2.95594912 44.22453750
2.95894704 44.24365995
2.96194496 44.26278825
2.96494288 44.28192145
2.96794080 44.30104910
2.97093872 44.32016935
2.97393664 44.33927960
2.97693456 44.35838145
2.97993248 44.37747920
2.98293040 44.39657295
2.98592832 44.41565915
2.98892624 44.43473010
2.99192416 44.45378120
2.99492208 44.47281770
2.99792000 44.49184250
3.00091792 44.51085530
3.00391584 44.52986155
3.00691376 44.54886715
3.00991168 44.56787545
3.01290960 44.58689100
3.01590752 44.60592630
3.01890544 44.62499705
3.02190336 44.64411745
3.02490128 44.66329840
3.02789920 44.68255105
3.03089712 44.70188435
3.03389504 44.72130125
3.03689296 44.74080330
3.03989088 44.76039080
3.04288880 44.78005630
3.04588672 44.79978890
3.04888464 44.81958265
3.05188256 44.83942995
3.05488048 44.85932120
3.05787840 44.87925115
3.06087632 44.89920945
3.06387424 44.91917780
3.06687216 44.93913820
3.06987008 44.95907000
3.07286800 44.97895790
3.07586592 44.99879360
3.07886384 45.01856510
3.08186176 45.03826135
3.08485968 45.05787480
3.08785760 45.07740235
3.09085552 45.09685030
3.09385344 45.11623065
3.09685136 45.13555285
3.09984928 45.15482680
3.10284720 45.17406905
3.10584512 45.19329715
3.10884304 45.21253365
3.11184096 45.23179985
3.11483888 45.25110240
3.11783680 45.27044895
3.12083472 45.28985140
