# 8x8x1 supercell for harmonic, 6x6x1 supercell for cubic ifcs
# 100x100x1 k points for kappa
# cubic ifcs up to 8NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"k index (irred.)" "branch index" "f (THz)" "1/tau_3ph (THz)" "1/tau_iso (THz)"
58 8 8.73155 0.13739 0.03948
58 9 10.55857 0.30145 0.07116
59 1 0.32769 0.00282 0.00002
59 2 0.95238 0.01003 0.00007
59 3 1.51741 0.01444 0.00031
59 4 5.07099 0.15932 0.02368
59 5 5.21618 0.13327 0.03036
59 6 7.14756 0.13086 0.03066
59 7 8.61864 0.12343 0.64618
59 8 8.74486 0.13996 0.04552
59 9 10.53486 0.31298 0.07256
60 1 0.39985 0.00283 0.00002
60 2 1.05858 0.01078 0.00010
60 3 1.68627 0.02597 0.00044
60 4 5.08043 0.15111 0.02428
60 5 5.25596 0.12523 0.03273
60 6 7.12550 0.13099 0.03056
60 7 8.62083 0.12236 0.67844
60 8 8.75775 0.14303 0.05440
60 9 10.50866 0.33393 0.07400
61 1 0.47796 0.00390 0.00003
61 2 1.16336 0.01325 0.00013
61 3 1.85274 0.03152 0.00060
61 4 5.09069 0.14494 0.02468
61 5 5.29796 0.12212 0.03603
61 6 7.10157 0.13067 0.03007
61 7 8.62299 0.12091 0.73345
61 8 8.76998 0.14675 0.06443
61 9 10.48011 0.35101 0.07460
62 1 0.56158 0.00755 0.00005
62 2 1.26654 0.01336 0.00017
62 3 2.01654 0.03336 0.00080
62 4 5.10169 0.14153 0.02510
62 5 5.34173 0.11724 0.03999
62 6 7.07597 0.13032 0.02974
62 7 8.62506 0.11958 0.79937
62 8 8.78146 0.15101 0.07643
62 9 10.44936 0.33796 0.07590
63 1 0.65024 0.00813 0.00006
63 2 1.36797 0.01222 0.00022
63 3 2.17740 0.03882 0.00106
63 4 5.11338 0.13662 0.02560
63 5 5.38685 0.11436 0.04539
63 6 7.04878 0.13010 0.02940
63 7 8.62698 0.11842 0.87349
63 8 8.79204 0.15658 0.09074
63 9 10.41650 0.33699 0.07738
64 1 0.74349 0.00920 0.00008
64 2 1.46752 0.01733 0.00028
64 3 2.33510 0.03820 0.00137
64 4 5.12564 0.13604 0.02629
64 5 5.43293 0.11334 0.05447
64 6 7.02015 0.12983 0.02901
64 7 8.62866 0.11726 0.98029
64 8 8.80179 0.16429 0.11256
64 9 10.38163 0.33827 0.07893
65 1 0.84085 0.01048 0.00011
65 2 1.56505 0.02266 0.00034
65 3 2.48940 0.04157 0.00178
65 4 5.13841 0.13501 0.02695
65 5 5.47955 0.11256 0.07712
65 6 6.99023 0.12945 0.02858
65 7 8.63007 0.11636 1.11992
65 8 8.81066 0.18691 0.13481
65 9 10.34494 0.31223 0.08051
66 1 0.94188 0.01406 0.00014
66 2 1.66043 0.02808 0.00041
66 3 2.64007 0.03561 0.00229
66 4 5.15163 0.13598 0.02774
66 5 5.52634 0.11256 0.04949
66 6 6.95914 0.12997 0.02812
66 7 8.63114 0.11543 1.31736
66 8 8.81878 0.18359 0.16497
66 9 10.30644 0.29907 0.08211
67 1 1.04614 0.01426 0.00017
67 2 1.75355 0.02985 0.00050
67 3 2.78689 0.03860 0.00294
67 4 5.16518 0.14073 0.02853
67 5 5.57302 0.11331 0.04160
67 6 6.92706 0.13010 0.02763
67 7 8.63183 0.11465 2.16441
67 8 8.82622 0.22559 0.19334
67 9 10.26630 0.28616 0.08351
68 1 1.15319 0.01698 0.00022
68 2 1.84429 0.03249 0.00059
68 3 2.92967 0.05583 0.00384
68 4 5.17897 0.13706 0.02941
68 5 5.61928 0.11495 0.03724
68 6 6.89415 0.13200 0.02711
68 7 8.63207 0.11392 1.46203
68 8 8.83311 0.16178 0.22594
68 9 10.22457 0.27335 0.08500
69 1 1.26262 0.01950 0.00027
69 2 1.93252 0.03522 0.00069
69 3 3.06820 0.05400 0.00524
69 4 5.19294 0.12819 0.03032
69 5 5.66482 0.11680 0.03447
69 6 6.86060 0.13609 0.02663
69 7 8.63186 0.11343 2.16568
69 8 8.83956 0.16153 0.25339
69 9 10.18137 0.26517 0.08658
70 1 1.37402 0.02089 0.00033
70 2 2.01815 0.04532 0.00081
70 3 3.20226 0.05681 0.00896
70 4 5.20704 0.12474 0.03129
70 5 5.70943 0.11960 0.03249
70 6 6.82663 0.13408 0.02621
70 7 8.63111 0.11306 1.30785
70 8 8.84571 0.16245 0.27379
70 9 10.13679 0.30556 0.08822
71 1 1.48699 0.02508 0.00039
71 2 2.10107 0.04802 0.00093
71 3 3.33171 0.06048 0.00744
71 4 5.22113 0.12151 0.03233
71 5 5.75287 0.12695 0.03118
71 6 6.79252 0.13065 0.02584
71 7 8.62980 0.11289 1.09129
71 8 8.85164 0.16435 0.28994
71 9 10.09089 0.28314 0.08990
72 1 1.60114 0.03086 0.00047
72 2 2.18118 0.06121 0.00107
72 3 3.45628 0.07005 0.00748
72 4 5.23519 0.11944 0.03376
72 5 5.79496 0.13096 0.03051
72 6 6.75849 0.12962 0.02555
72 7 8.62791 0.11829 0.95043
72 8 8.85749 0.16676 0.30119
72 9 10.04383 0.27125 0.09165
73 1 1.71612 0.03267 0.00057
73 2 2.25839 0.05060 0.00122
73 3 3.57580 0.06974 0.00813
73 4 5.24916 0.11754 0.03486
73 5 5.83555 0.12185 0.03031
73 6 6.72482 0.12883 0.02536
73 7 8.62542 0.12485 0.83902
73 8 8.86330 0.16992 0.30975
73 9 9.99571 0.32725 0.09347
74 1 1.83157 0.01870 0.00067
74 2 2.33260 0.04369 0.00138
74 3 3.69009 0.06992 0.01338
74 4 5.26298 0.11612 0.03597
74 5 5.87446 0.11848 0.03067
74 6 6.69185 0.12871 0.02528
74 7 8.62233 0.12804 0.75142
74 8 8.86912 0.17371 0.31658
74 9 9.94663 0.36752 0.09535
75 1 1.94716 0.01457 0.00079
75 2 2.40373 0.04499 0.00155
75 3 3.79891 0.07370 0.02204
75 4 5.27659 0.11435 0.03713
75 5 5.91155 0.11590 0.03249
75 6 6.65983 0.13033 0.02535
75 7 8.61861 0.13313 0.67690
75 8 8.87497 0.17813 0.32768
75 9 9.89678 0.35231 0.09743
76 1 2.06255 0.01625 0.00093
76 2 2.47173 0.04739 0.00174
76 3 3.90210 0.07655 0.01144
76 4 5.28999 0.11289 0.03832
76 5 5.94671 0.11386 0.08072
76 6 6.62913 0.12780 0.02560
76 7 8.61433 0.13086 0.61556
76 8 8.88090 0.18363 0.33398
76 9 9.84626 0.34761 0.09973
77 1 2.17744 0.02266 0.00110
77 2 2.53653 0.04854 0.00194
77 3 3.99941 0.08069 0.00674
77 4 5.30309 0.11185 0.03971
77 5 5.97981 0.11224 0.01746
77 6 6.60002 0.12335 0.02609
77 7 8.60947 0.13140 0.56731
77 8 8.88684 0.18964 0.34084
77 9 9.79530 0.27264 0.10227
78 1 2.29152 0.03613 0.00128
78 2 2.59810 0.05263 0.00215
78 3 4.09067 0.09232 0.00413
78 4 5.31589 0.11115 0.04110
78 5 6.01072 0.11034 0.01988
